"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"169",169,"Grompertz","-11.0897157565368","Grompertz","-8.36244302926406","Grompertz","-4.42869320566076"
"170",170,"Cubic Poly","50.9449855629796","Cubic Poly","54.4743973276855","Cubic Poly","56.6224566426253"
"171",171,"Cubic Poly","37.3970577856437","Cubic Poly","42.8516032401891","Cubic Poly","41.5631245059247"
"172",172,"Cubic Poly","26.9143463414163","Cubic Poly","32.9143463414163","Cubic Poly","30.7772899526152"
"173",173,"Grompertz","7.318954119417","NA","NA","Grompertz","6.27775146555727"
"174",174,"Cubic Poly","1.25021588667365","Cubic Poly","-58.7497841133263","Cubic Poly","-0.702594551155846"
"175",175,"Cubic Poly","3.26777382983802","Cubic Poly","-56.732226170162","Cubic Poly","1.31496339200852"
"176",176,"Cubic Poly","23.3144148476603","Cubic Poly","83.3144148476603","Cubic Poly","23.0439655929369"
"177",177,"Cubic Poly","24.5153919829877","Cubic Poly","54.5153919829877","Cubic Poly","24.9125996913869"
"178",178,"Cubic Poly","15.4125060331925","Cubic Poly","30.4125060331925","Cubic Poly","16.9254314981627"
"179",179,"Grompertz","5.92409828469067","Grompertz","17.9240982846907","Grompertz","7.91357464868252"
"180",180,"Grompertz","-9.64439470401906","Grompertz","2.35560529598094","Grompertz","-7.65491834002721"
"181",181,"Cubic Poly","2.61342174386886","Cubic Poly","Inf","Cubic Poly","1.57221909000914"
"182",182,"Grompertz","6.16190556773942","Grompertz","66.1619055677394","Grompertz","5.89145631301598"
"183",183,"Grompertz","5.63564933430621","Grompertz","65.6356493343062","Grompertz","5.36520007958278"
"184",184,"Grompertz","-12.5014307783188","Grompertz","-3.93000220689027","Grompertz","-9.67668399101116"
"185",185,"Cubic Poly","-1.62587383199079","Cubic Poly","13.3741261680092","Cubic Poly","-0.112948367020564"
"186",186,"Cubic Poly","-4.58303951199339","Cubic Poly","7.41696048800661","Cubic Poly","-2.59356314800154"
"187",187,"Cubic Poly","14.3513530691631","Cubic Poly","26.3513530691631","Cubic Poly","16.3408294331549"
"188",188,"Cubic Poly","18.0055744314229","Cubic Poly","26.5770030028515","Cubic Poly","20.8303212187306"
"189",189,"Grompertz","-2.09843251552054","Grompertz","6.47299605590803","Grompertz","0.726314271787144"
"190",190,"Cubic Poly","14.3532934237938","Cubic Poly","24.3532934237938","Cubic Poly","16.7778266727338"
"191",191,"Cubic Poly","10.2034637706429","Cubic Poly","20.2034637706429","Cubic Poly","12.6279970195829"
"192",192,"Grompertz","-7.83215448437882","Grompertz","2.16784551562118","Grompertz","-5.40762123543882"
"193",193,"Cubic Poly","15.2540436645944","Cubic Poly","35.2540436645944","Cubic Poly","16.2401665512755"
"194",194,"Cubic Poly","2.2924171977091","Cubic Poly","22.2924171977091","Cubic Poly","3.2785400843902"
